"Rank","Artist","Song"
1,"Armin van Buuren feat. Susana"," Shivers "
2,"Tiësto"," Adagio For Strings "
3,"GAIA"," Tuvan "
4,"Delerium feat. Sarah McLachlan"," Silence (Tiësto’s In Search Of Sunrise Remix)"
5,"Armin van Buuren"," Communication (Part 3)"
6,"Gouryella"," Anahera "
7,"RAM"," RAMsterdam (Jorn van Deynhoven Remix)"
8,"Dash Berlin with Cerf & Mitiska & Jaren"," Man On The Run "
9,"Gareth Emery feat. Christina Novelli"," Concrete Angel "
10,"RAM & Susana"," RAMelia (Tribute To Amelia) "
11,"Above & Beyond feat. Richard Bedford"," Sun & Moon (Above & Beyond Club Mix)"
12,"Gareth Emery & STANDERWICK feat. HALIENE"," Saving Light "
13,"4 Strings"," Take Me Away (Into The Night) "
14,"Armin van Buuren feat. Justine Suissa"," Burned With Desire (Rising Star Vocal Mix)"
15,"Rank 1"," Airwave "
16,"Paul van Dyk"," For An Angel (PvD E-Werk Club Mix )"
17,"Above & Beyond pres. OceanLab"," Satellite "
18,"Motorcycle"," As The Rush Comes (Gabriel & Dresden Sweeping Strings Mix"
19,"Aly & Fila feat. Jwaydan"," We Control The Sunlight "
20,"Armin van Buuren feat. Sharon Den Adel"," In And Out Of Love "
21,"Veracocha"," Carte Blanche "
22,"Above & Beyond & Gareth Emery pres. OceanLab"," On A Good Day (Metropolis) "
23,"MaRLo & Feenixpawl"," Lighter Than Air "
24,"Dash Berlin"," Till The Sky Falls Down "
25,"Chicane feat. Maire Brennan Of Clannad"," Saltwater "
26,"Above & Beyond with Andy Moor"," Air For Life "
27,"Paul van Dyk feat. Hemstock & Jennings"," Nothing But You (PvD Club Mix)"
28,"Dash Berlin feat. Emma Hewitt"," Waiting "
29,"Roger Shah presents Sunlounger feat. Zara"," Lost (Club Mix)"
30,"GAIA"," Empire Of Hearts "
31,"Andain"," Beautiful Things (Gabriel & Dresden Unplugged Mix)"
32,"Armin van Buuren feat. Trevor Guthrie"," This Is What It Feels Like (W&W Remix)"
33,"Robert Miles"," Children (Dream Version)"
34,"Alex M.O.R.P.H. feat. Sylvia Tosun"," An Angel’s Love "
35,"Gareth Emery feat. Bo Bruce"," U (Bryan Kearney Remix)"
36,"Armin van Buuren feat. Miri Ben-Ari"," Intense "
37,"Key4050 & Plumb"," I Love You "
38,"Richard Durand & Christina Novelli"," The Air I Breathe (Club Mix)"
39,"John O’Callaghan feat. Audrey Gallagher"," Big Sky (Agnelli & Nelson Remix)"
40,"Armin van Buuren feat. Jan Vayne"," Serenity "
41,"Push"," Universal Nation "
42,"Giuseppe Ottaviani"," Through Your Eyes "
43,"Luminary"," Amsterdam (Smith & Pledger Remix)"
44,"Energy 52"," Café Del Mar ’98 (Original Three ‘N One Mix)"
45,"Aly & Fila"," It’s All About The Melody "
46,"System F"," Out Of The Blue "
47,"Gareth Emery feat. Lucy Saunders"," Sanctuary "
48,"Above & Beyond feat. Zoë Johnston"," Good For Me (Above & Beyond Club Mix)"
49,"ATB"," Ecstasy (Clubb Mix)"
50,"Tiësto"," Suburban Train "
51,"GAIA"," Status Excessu D"
52,"Paul Oakenfold"," Southern Sun (Tiësto Remix)"
53,"Push"," Strange World (2000 Remake)"
54,"Saltwater"," The Legacy (Alphazone Remix)"
55,"Above & Beyond pres. OceanLab"," Sirens Of The Sea (Above & Beyond Club Mix)"
56,"Tiësto"," Lethal Industry"
57,"Armin van Buuren"," Sail"
58,"Dash Berlin feat. Roxanne Emery"," Shelter (Photographer Remix)"
59,"Arksun"," Arisen"
60,"Ferry Corsten"," Beautiful"
61,"Tiësto feat. Kirsty Hawkshaw"," Just Be"
62,"Gouryella"," Gouryella"
63,"Above & Beyond feat. Richard Bedford"," Northern Soul"
64,"Richard Durand & Christina Novelli"," Save You"
65,"Armin van Buuren feat. Gabriel & Dresden"," Zocalo"
66,"Gareth Emery feat. Annabel"," You’ll Be OK"
67,"Bryan Kearney & Plumb"," All Over Again"
68,"Tiësto"," Traffic"
69,"Andrew Rayel"," 550 Senta (Aether Mix)"
70,"PPK"," Resurection"
71,"Binary Finary"," 1998 (Gouryella Remix)"
72,"Above & Beyond"," Can’t Sleep"
73,"Paul van Dyk feat. Second Sun"," Crush"
74,"Armin van Buuren"," Blah Blah Blah"
75,"Above & Beyond feat. Zoë Johnston"," No One On Earth (Gabriel & Dresden Remix)"
76,"Simon O’Shine"," Your Distant World"
77,"Jorn van Deynhoven"," New Horizons (ASOT 650 Anthem)"
78,"Alex M.O.R.P.H."," Walk The Edge (Alex M.O.R.P.H. B2B Woody van Eyden Mix)"
79,"Above & Beyond feat. Richard Bedford"," Thing Called Love"
80,"Reflekt feat. Delline Bass"," Need To Feel Loved (The Thrillseekers Remix)"
81,"Gouryella"," Ligaya"
82,"Ben Gold"," I’m In A State Of Trance (ASOT 750 Anthem)"
83,"Ferry Corsten feat. Betsie Larkin"," Made Of Love"
84,"Ørjan Nilsen"," Between The Rays"
85,"Armin van Buuren"," Mirage"
86,"Photographer"," Airport"
87,"Solarstone"," Seven Cities (Armin van Buuren Remix)"
88,"Giuseppe Ottaviani"," Linking People"
89,"Omnia & IRA"," The Fusion"
90,"GAIA"," J’ai Envie de Toi"
91,"Cygnus X"," Superstring (Rank 1 Remix)"
92,"Armin van Buuren vs Vini Vici feat. Hilight Tribe"," Great Spirit"
93,"Above & Beyond vs Armin van Buuren"," Show Me Love"
94,"Estiva x Ruben de Ronde"," Rainbow"
95,"Ben Gold & Sivan"," Stay (Sneijder Remix)"
96,"Aly & Fila meets Roger Shah & Susana"," Unbreakable"
97,"O’Callaghan & Kearney"," Exactly"
98,"Alex M.O.R.P.H. feat. Natalie Gioia"," The Reason (Club Mix)"
99,"Armin van Buuren"," Blue Fear"
100,"Davey Asprey"," Fallout"
101,"Dart Rayne & Yura Moonlight with Sarah Lynn"," Silhouette (Allen & Envy Remix)"
102,"Gareth Emery"," Long Way Home"
103,"Giuseppe Ottaviani"," Till The Sunrise"
104,"Simon O’Shine & Sergey Nevone"," Apprehension (Aly & Fila Mix)"
105,"Above & Beyond feat. Richard Bedford"," Alone Tonight (Above & Beyond Club Mix)"
106,"Armin van Buuren vs Shapov"," The Last Dancer"
107,"Ørjan Nilsen"," La Guitarra"
108,"Aly & Fila vs The Thrillseekers"," Es Vedra"
109,"Armin van Buuren"," I Live For That Energy (ASOT 800 Anthem)"
110,"Yuri Kane"," Right Back"
111,"Craig Connelly & Christina Novelli"," Black Hole (Jorn van Deynhoven Remix)"
112,"Armin van Buuren feat. Sophie Ellis-Bextor"," Not Giving Up On Love"
113,"William Orbit"," Barber’s Adagio For Strings (Ferry Corsten Remix)"
114,"BT"," Flaming June (BT & PvD Original Mix)"
115,"Rank 1"," L.E.D. There Be Light"
116,"Armin van Buuren"," Be In The Moment (ASOT 850 Anthem)"
117,"John O’Callaghan feat. Sarah Howells"," Find Yourself"
118,"Gouryella"," Venera (Vee’s Theme)"
119,"Armin van Buuren"," Let The Music Guide You (ASOT 950 Anthem)"
120,"Darren Tate & Jono Grant"," Shine (Let The Light Shine In)"
121,"Aly & Fila"," Beyond The Lights"
122,"Gouryella"," Surga"
123,"Armin van Buuren pres. Rising Star feat. Fiora"," Just As You Are"
124,"Above & Beyond feat. Zoë Johnston"," We’re All We Need"
125,"ATB"," 9PM (Till I Come)"
126,"Alex M.O.R.P.H. feat. Ana Criado"," Sunset Boulevard"
127,"Three Drives On A Vinyl"," Greece 2000"
128,"Aly & Fila with JES"," I Won’t Let You Fall (Uplifting Mix)"
129,"The Thrillseekers"," Synaesthesia (Ferry Corsten Remix)"
130,"Giuseppe Ottaviani"," 8k"
131,"Cosmic Gate & Emma Hewitt"," Be Your Sound"
132,"Armin van Buuren"," Coming Home"
133,"Roman Messer & Cari"," Serenity"
134,"Armin van Buuren"," Orbion"
135,"Alex M.O.R.P.H."," Running For Peace"
136,"Markus Schulz & HALIENE"," Ave Maria"
137,"ARTY & Mat Zo"," Rebound"
138,"Andrew Rayel feat. Alexandra Badoi"," Goodbye"
139,"Paul van Dyk feat. Plumb"," Music Rescues Me (PvD Club Mix)"
140,"Armin van Buuren feat. Sam Martin"," Wild Wild Son (Richard Durand Remix)"
141,"Ferry Corsten & Armin van Buuren"," Brute"
142,"Andrew Rayel"," Aeon Of Revenge"
143,"Above & Beyond"," Home (Above & Beyond Club Mix)"
144,"Allen Watts"," Arizona"
145,"Cerf, Mitiska & Jaren"," Beggin’ You (Armin van Buuren Remix)"
146,"Tiësto"," Flight 643"
147,"Salt Lake"," Rendezvous"
148,"Solarstone"," Solarcoaster"
149,"Andrew Rayel"," Dark Warrior"
150,"Armin van Buuren"," Lifting You Higher (ASOT 900 Anthem)"
151,"Bobina"," Invisible Touch (Ferry Corsten’s Touch)"
152,"Ørjan Nilsen"," Amsterdam"
153,"Above & Beyond feat. Alex Vargas"," Blue Sky Action (Above & Beyond Club Mix)"
154,"BT"," Skylarking"
155,"Tiësto"," Elements Of Life"
156,"Armin van Buuren"," Imagine"
157,"Giuseppe Ottaviani"," Panama"
158,"RAM & Susana"," Someone Like You (RAM & STANDERWICK Remix)"
159,"Armin van Buuren vs Shapov"," Our Origin"
160,"Eric Prydz"," Opus"
161,"Super8 & Tab"," Mega"
162,"Armin van Buuren feat. Christian Burns"," This Light Between Us"
163,"Above & Beyond feat. Zoë Johnston"," Reverie (Above & Beyond Club Mix)"
164,"deadmau5"," Strobe"
165,"Gouryella"," Walhalla"
166,"Armin van Buuren vs Shapov"," La Résistance De L’Amour"
167,"Darude"," Sandstorm"
168,"Ciaran McAuley & Clare Stagg"," All I Want"
169,"Shogun"," Skyfire"
170,"Sonic Inc."," Taste Of Summer (Fire & Ice Vital Remix)"
171,"Armin van Buuren feat. BT"," These Silent Hearts"
172,"Ben Gold"," The City Sleeps Tonight"
173,"RAM & Susana"," Northern Star"
174,"Gouryella"," Tenshi"
175,"Sean Tyas"," Lift"
176,"Above & Beyond"," Sun In Your Eyes"
177,"Ayumi Hamasaki"," M (Above & Beyond Vocal Mix)"
178,"Armin van Buuren feat. Fiora"," Waiting For The Night"
179,"Sebastian Brandt"," 450"
180,"Armin van Buuren"," My Symphony (The Best Of Armin Only Anthem)"
181,"ilan Bluestone with Maor Levi feat. EL Wave"," Will We Remain?"
182,"Armin van Buuren feat. Josh Cumbee"," Sunny Days (PureNRG Remix)"
183,"FUTURECODE & Roxanne Emery"," Dancing In The Rain"
184,"The Doppler Effect"," Beauty Hides In The Deep (John O’Callaghan Remix)"
185,"Ørjan Nilsen"," Violetta"
186,"Ruben de Ronde feat. EKE"," Wanderlust (Eugenio Tokarev Remix)"
187,"Armin van Buuren & MaRLo feat. Mila Josef"," This I Vow (MaRLo’s Tech Energy Mix)"
188,"W&W"," Invasion (ASOT 550 Anthem)"
189,"Armin van Buuren pres. Perpetuous Dreamer"," The Sound Of Goodbye (Armin van Buuren’s Rising Star Mix)"
190,"Above & Beyond"," Distorted Truth"
191,"Armin van Buuren pres. Rising Star feat. Alexandra Badoi"," Cosmos"
192,"Roger Shah pres. Sunlounger"," White Sand (DJ Shah’s Original Mix)"
193,"Ralphie B"," Massive"
194,"Robert Nickson"," Heliopause"
195,"Armin van Buuren"," Ping Pong"
196,"Armin van Buuren pres. Rising Star feat. Betsie Larkin"," Safe Inside You"
197,"Above & Beyond feat. Marty Longstaff"," Flying By Candlelight (Above & Beyond Club Mix)"
198,"Elevation"," Clear Blue (Intro Mix)"
199,"Armin van Buuren feat. Ana Criado"," I’ll Listen"
200,"Paul van Dyk feat. Plumb"," I Don’t Deserve You (Giuseppe Ottaviani Remix)"
201,"Alex M.O.R.P.H. & Rank 1"," Life Less Ordinary (A Less Ordinary Rank 1 Mix)"
202,"Armin van Buuren feat. Eric Vloeimans"," Embrace"
203,"Will Atkinson"," Numb The Pain"
204,"ATB"," Let U Go (Clubb Mix)"
205,"Aly & Fila with Plumb"," Somebody Loves You"
206,"Darren Porter"," Deep Blue"
207,"Armin van Buuren & DJ Shah feat. Chris Jones"," Going Wrong"
208,"Dash Berlin feat. Bo Bruce"," Coming Home (STANDERWICK Remix)"
209,"Arctic Moon feat. Shuba"," Cool In My Disaster"
210,"GAIA"," Aisha"
211,"Above & Beyond pres. OceanLab"," Sky Falls Down (Armin van Buuren Remix)"
212,"Armin van Buuren feat. Emma Hewitt"," Forever is Ours"
213,"Matt Darey pres. Urban Astronauts feat. Kate Louise Smith"," See The Sun (Dan Stone Rework)"
214,"Tiësto feat. Christian Burns"," In The Dark (First State Remix)"
215,"Cosmic Gate"," Come With Me"
216,"Armin van Buuren"," Full Focus"
217,"Yahel & Eyal Barkan"," Voyage"
218,"Roger Shah & Signum"," Healesville Sanctuary (Signum Mix)"
219,"Above & Beyond pres. OceanLab"," Clear Blue Water (Ferry Corsten Remix)"
220,"Armin van Buuren vs Tempo Giusto"," Mr. Navigator"
221,"deadmau5 & Kaskade"," I Remember"
222,"Ridgewalkers feat. El"," Find (Andy Moor Remix)"
223,"Armin van Buuren & Avian Grays feat. Jordan Shaw"," Something Real (Giuseppe Ottaviani Remix)"
224,"Mike Foyle vs Signalrunners"," Love Theme Dusk (Mike’s Broken Record Mix)"
225,"MaRLo & HALIENE"," Whisper"
226,"Above & Beyond pres. OceanLab"," Miracle (Above & Beyond Club Mix)"
227,"The Blizzard"," Kalopsia"
228,"Alt+F4"," Alt+F4"
229,"Gareth Emery feat. Wayward Daughter"," Reckless (STANDERWICK Remix)"
230,"Andrew Rayel & HALIENE"," Take All Of Me"
231,"Armin van Buuren"," Pulsar"
232,"DJ Eco & Martin Roth"," Tonight Is Forever (Martin Roth Edit)"
233,"Sasha"," Xpander"
234,"Simon Patterson"," Miss You"
235,"Cosmic Gate"," am2pm"
236,"Major League"," Wonder Where You Are? (Vocal Mix)"
237,"ATB & Dash Berlin"," Apollo Road"
238,"Max Graham feat. Ana Criado"," Nothing Else Matters (Aly & Fila Remix)"
239,"Armin van Buuren feat. Kensington"," Heading Up High (First State Remix)"
240,"System F feat. Armin van Buuren"," Exhale"
241,"Pulser"," My Religion"
242,"Markus Schulz feat. Ana Diaz"," Nothing Without Me (Beat Service Remix)"
243,"Headstrong feat. Stine Grove"," Tears (Aurosonic Progressive Mix)"
244,"Armin van Buuren & Andrew Rayel"," EIFORYA"
245,"GAIA"," Saint Vitus"
246,"Paul van Dyk feat. Vega 4"," Time Of Our Lives"
247,"Solarstone"," The Calling (Orkidea’s Piano Mix)"
248,"RAM & Alex M.O.R.P.H."," Youniverse (Grotesque 350 Anthem)"
249,"Airbase"," Escape"
250,"BT feat. JES"," Every Other Way (Armin van Buuren Remix)"
251,"Bobina"," Winter"
252,"Armin van Buuren"," Turn It Up"
253,"Cosmic Gate & Forêt"," Need To Feel Loved"
254,"Armin van Buuren feat. Racoon"," Love You More"
255,"Iio"," Rapture (Armin van Buuren Remix)"
256,"Armin van Buuren feat. Laura V"," Drowning (Avicii Remix)"
257,"Super8 & Tab"," Helsinki Scorchin’ (Alex M.O.R.P.H. Remix)"
258,"Simon O’Shine & Ahmed Romel"," L’Absente"
259,"Above & Beyond feat. Zoë Johnston"," Alchemy (Above & Beyond Club Mix)"
260,"Aly & Fila with Ferry Tayle"," Nubia"
261,"Push"," The Legacy (Club Mix)"
262,"Armin van Buuren feat. Candace Sosa"," Runaway"
263,"Goldenscan"," Halcyon (Adam Ellis Remix)"
264,"Leon Bolier"," Ocean Drive Boulevard"
265,"Rank 1 feat. Shanokee"," Such Is Life"
266,"Paul van Dyk feat. Johnny McDaid"," Home (Cosmic Gate Remix)"
267,"GAIA"," Humming The Lights"
268,"Aly & Fila"," Lost Language"
269,"Giuseppe Ottaviani feat. Lucid Blue"," I Believe"
270,"Akesson"," Perfect Blue"
271,"Aligator feat. Daniel Kandi"," The Perfect Match (Club Mix)"
272,"Airborn, Bogdan Vix & KeyPlayer feat. Alexandra Badoi"," Run Away"
273,"Jean-Michel Jarre & Armin van Buuren"," Stardust (Rising Star Remix)"
274,"Armin Van Buuren vs Rank 1 feat. Kush"," This World Is Watching Me"
275,"Giuseppe Ottaviani"," Till We Meet Again"
276,"FEEL & Alexandra Badoi"," Born To Love (Roman Messer Remix)"
277,"Armin van Buuren feat. Cindy Alma"," Beautiful Life"
278,"Paul van Dyk feat. Sue McLaren"," Lights"
279,"Elevation"," Biscayne (Lemon & Einar K Remix)"
280,"Gabriel & Dresden feat. Sub Teal"," Only Road (Cosmic Gate Remix)"
281,"Gareth Emery feat. Christina Novelli"," Save Me (John O’Callaghan Remix)"
282,"Armin van Buuren & Garibay feat. Olaf Blackwood"," I Need You (Club Mix)"
283,"Factor B feat. Cat Martin"," Crashing Over"
284,"Markus Schulz feat. Delacey"," Destiny"
285,"NWYR & Andrew Rayel"," The Melody"
286,"Rank 1"," Breathing (Airwaves) [Breaks Dub]"
287,"W&W x Vini Vici"," Chakra"
288,"Armin van Buuren"," Who’s Afraid Of 138?! (Photographer Remix)"
289,"Gabriel & Dresden feat. Molly Bancroft"," Tracking Treasure Down"
290,"Sean Tyas"," Drop"
291,"Susana feat. Omnia & The Blizzard"," Closer"
292,"Armin van Buuren feat. Ana Criado"," Suddenly Summer"
293,"Andrew Rayel feat. Jano"," How Do I Know (Club Mix)"
294,"KhoMha"," Tierra"
295,"Dogzilla"," Without You (Dogzilla Dub)"
296,"RAM feat. Stine Grove"," Forever And A Day"
297,"Armin van Buuren feat. Ray Wilson"," Yet Another Day"
298,"Craig Connelly feat. Jessica Lawrence"," How Can I (John O’Callaghan Remix)"
299,"Ferry Corsten feat. HALIENE"," Wherever You Are"
300,"Daniel Kandi pres. Timmus"," Symphonica"
301,"M.I.D.O.R. & Six4Eight"," No Man’s Land"
302,"Assaf & Cassandra Grey"," All Of You"
303,"Above & Beyond"," Is It Love? (1001)"
304,"Armin van Buuren feat. Jaren"," Unforgivable"
305,"Armin van Buuren pres. Rising Star feat. Betsie Larkin"," Again (Armin van Buuren Remix)"
306,"Above & Beyond & Seven Lions feat. Opposite The Other"," See The End"
307,"Dash Berlin feat. Emma Hewitt"," Disarm Yourself"
308,"Cerf, Mitiska & Jaren"," Light The Skies (Retrobyte’s Classic Electrobounce Mix)"
309,"Ferry Corsten"," Punk"
310,"Andrew Rayel & Bobina"," Sacramentum (Andrew Rayel Aether Mix)"
311,"Armin van Buuren feat. Jacqueline Govaert"," Never Say Never"
312,"Bryan Kearney & Christina Novelli"," By My Side"
313,"Andrew Rayel & Robbie Seed feat. That Girl"," Stars Collide"
314,"Armin van Buuren & Markus Schulz"," The Expedition (ASOT 600 Anthem)"
315,"Solarstone & Clare Stagg"," The Spell (Solarstone Pure Mix)"
316,"Dash Berlin feat. Jonathan Mendelsohn"," Better Half Of Me"
317,"Above & Beyond"," Blue Monday"
318,"GAIA"," Stellar"
319,"Solarstone & Clare Stagg"," Jewel (Pure Vocal Mix)"
320,"Above & Beyond pres. Tranquility Base"," Oceanic"
321,"DJ’s United"," Remember Love"
322,"Rank 1"," Awakening"
323,"LSG"," Netherworld (Oliver Prime Remix)"
324,"Armin van Buuren"," Rush Hour"
325,"Andy Blueman"," Sea Tides"
